reference_month,ticker,value,unit,seasonal_adjustment,report_month,report_release_date,source_id,source_url,table_index_zero_based,observation_role
2019-10,NAPMOI@USECON,46.3,diffusion_index,SA,2020-01,2020-02-03,manufacturing_2020-01,https://www.prnewswire.com/news-releases/pmi-at-50-9-gdp-growing-at-2-4-january-2020-manufacturing-ism-report-on-business-300997110.html,3,retrospective_table
2019-10,NAPMPI@USECON,45.5,diffusion_index,NSA,2020-01,2020-02-03,manufacturing_2020-01,https://www.prnewswire.com/news-releases/pmi-at-50-9-gdp-growing-at-2-4-january-2020-manufacturing-ism-report-on-business-300997110.html,8,retrospective_table
2019-10,NAPMVDI@USECON,50.1,diffusion_index,NSA,2020-01,2020-02-03,manufacturing_2020-01,https://www.prnewswire.com/news-releases/pmi-at-50-9-gdp-growing-at-2-4-january-2020-manufacturing-ism-report-on-business-300997110.html,5,retrospective_table
2019-11,NAPMC@USECON,48.1,diffusion_index,composite_of_adjusted_and_unadjusted_subindexes,2020-01,2020-02-03,manufacturing_2020-01,https://www.prnewswire.com/news-releases/pmi-at-50-9-gdp-growing-at-2-4-january-2020-manufacturing-ism-report-on-business-300997110.html,1,retrospective_table
2019-11,NAPMEI@USECON,46.8,diffusion_index,SA,2020-01,2020-02-03,manufacturing_2020-01,https://www.prnewswire.com/news-releases/pmi-at-50-9-gdp-growing-at-2-4-january-2020-manufacturing-ism-report-on-business-300997110.html,4,retrospective_table
2019-11,NAPMII@USECON,47.2,diffusion_index,SA,2020-01,2020-02-03,manufacturing_2020-01,https://www.prnewswire.com/news-releases/pmi-at-50-9-gdp-growing-at-2-4-january-2020-manufacturing-ism-report-on-business-300997110.html,6,retrospective_table
2019-11,NAPMNI@USECON,46.8,diffusion_index,SA,2020-01,2020-02-03,manufacturing_2020-01,https://www.prnewswire.com/news-releases/pmi-at-50-9-gdp-growing-at-2-4-january-2020-manufacturing-ism-report-on-business-300997110.html,2,retrospective_table
2019-11,NAPMOI@USECON,48.0,diffusion_index,SA,2020-01,2020-02-03,manufacturing_2020-01,https://www.prnewswire.com/news-releases/pmi-at-50-9-gdp-growing-at-2-4-january-2020-manufacturing-ism-report-on-business-300997110.html,3,retrospective_table
2019-11,NAPMPI@USECON,46.7,diffusion_index,NSA,2020-01,2020-02-03,manufacturing_2020-01,https://www.prnewswire.com/news-releases/pmi-at-50-9-gdp-growing-at-2-4-january-2020-manufacturing-ism-report-on-business-300997110.html,8,retrospective_table
2019-11,NAPMVDI@USECON,51.7,diffusion_index,NSA,2020-01,2020-02-03,manufacturing_2020-01,https://www.prnewswire.com/news-releases/pmi-at-50-9-gdp-growing-at-2-4-january-2020-manufacturing-ism-report-on-business-300997110.html,5,retrospective_table
2019-12,NAPMC@USECON,47.8,diffusion_index,composite_of_adjusted_and_unadjusted_subindexes,2020-01,2020-02-03,manufacturing_2020-01,https://www.prnewswire.com/news-releases/pmi-at-50-9-gdp-growing-at-2-4-january-2020-manufacturing-ism-report-on-business-300997110.html,1,retrospective_table
2019-12,NAPMEI@USECON,45.2,diffusion_index,SA,2020-01,2020-02-03,manufacturing_2020-01,https://www.prnewswire.com/news-releases/pmi-at-50-9-gdp-growing-at-2-4-january-2020-manufacturing-ism-report-on-business-300997110.html,4,retrospective_table
2019-12,NAPMII@USECON,49.2,diffusion_index,SA,2020-01,2020-02-03,manufacturing_2020-01,https://www.prnewswire.com/news-releases/pmi-at-50-9-gdp-growing-at-2-4-january-2020-manufacturing-ism-report-on-business-300997110.html,6,retrospective_table
2019-12,NAPMNI@USECON,47.6,diffusion_index,SA,2020-01,2020-02-03,manufacturing_2020-01,https://www.prnewswire.com/news-releases/pmi-at-50-9-gdp-growing-at-2-4-january-2020-manufacturing-ism-report-on-business-300997110.html,2,retrospective_table
